gene,gene_id,chromosome,type
LIG3,ENSG00000005156,17,protein_coding
RPAP3,ENSG00000005175,12,protein_coding
ACSM3,ENSG00000005187,16,protein_coding
CIAPIN1,ENSG00000005194,16,protein_coding
SPPL2B,ENSG00000005206,19,protein_coding
COPZ2,ENSG00000005243,17,protein_coding
PRKAR2B,ENSG00000005249,7,protein_coding
MSL3,ENSG00000005302,X,protein_coding
CREBBP,ENSG00000005339,16,protein_coding
TSPOAP1,ENSG00000005379,17,protein_coding
MPO,ENSG00000005381,17,protein_coding
PON1,ENSG00000005421,7,protein_coding
GCFC2,ENSG00000005436,2,protein_coding
WDR54,ENSG00000005448,2,protein_coding
CROT,ENSG00000005469,7,protein_coding
ABCB4,ENSG00000005471,7,protein_coding
KMT2E,ENSG00000005483,7,protein_coding
RHBDD2,ENSG00000005486,7,protein_coding
SOX8,ENSG00000005513,16,protein_coding
IBTK,ENSG00000005700,6,protein_coding
ZNF195,ENSG00000005801,11,protein_coding
MYCBP2,ENSG00000005810,13,protein_coding
FBXL3,ENSG00000005812,13,protein_coding
ITGAL,ENSG00000005844,16,protein_coding
PDK2,ENSG00000005882,17,protein_coding
ITGA3,ENSG00000005884,17,protein_coding
ZFX,ENSG00000005889,X,protein_coding
LAMP2,ENSG00000005893,X,protein_coding
ITGA2B,ENSG00000005961,17,protein_coding
ASB4,ENSG00000005981,7,protein_coding
GDE1,ENSG00000006007,16,protein_coding
CRLF1,ENSG00000006016,19,protein_coding
OSBPL7,ENSG00000006025,17,protein_coding
TMEM98,ENSG00000006042,17,protein_coding
YBX2,ENSG00000006047,17,protein_coding
KRT33A,ENSG00000006059,17,protein_coding
MAP3K14,ENSG00000006062,17,protein_coding
ABCC8,ENSG00000006071,11,protein_coding
CACNG3,ENSG00000006116,16,protein_coding
TMEM132A,ENSG00000006118,11,protein_coding
AP2B1,ENSG00000006125,17,protein_coding
TAC1,ENSG00000006128,7,protein_coding
ZNF263,ENSG00000006194,16,protein_coding
CX3CL1,ENSG00000006210,16,protein_coding
SPATA20,ENSG00000006282,17,protein_coding
CACNA1G,ENSG00000006283,17,protein_coding
TNFRSF12A,ENSG00000006327,16,protein_coding
DLX6,ENSG00000006377,7,protein_coding
MAP3K9,ENSG00000006432,14,protein_coding
RALA,ENSG00000006451,7,protein_coding
BAIAP2L1,ENSG00000006453,7,protein_coding
KDM7A,ENSG00000006459,7,protein_coding
ETV1,ENSG00000006468,7,protein_coding
AGK,ENSG00000006530,7,protein_coding
ALDH3B1,ENSG00000006534,11,protein_coding
TTC22,ENSG00000006555,1,protein_coding
PHTF2,ENSG00000006576,7,protein_coding
CCL26,ENSG00000006606,7,protein_coding
FARP2,ENSG00000006607,2,protein_coding
USH1C,ENSG00000006611,11,protein_coding
GGCT,ENSG00000006625,7,protein_coding
DBF4,ENSG00000006634,7,protein_coding
TBXA2R,ENSG00000006638,19,protein_coding
IFRD1,ENSG00000006652,7,protein_coding
LGALS14,ENSG00000006659,19,protein_coding
COX10,ENSG00000006695,17,protein_coding
GTF2IRD1,ENSG00000006704,7,protein_coding
PAF1,ENSG00000006712,19,protein_coding
VPS41,ENSG00000006715,7,protein_coding
ARHGAP44,ENSG00000006740,17,protein_coding
ELAC2,ENSG00000006744,17,protein_coding
SCIN,ENSG00000006747,7,protein_coding
ARSD,ENSG00000006756,X,protein_coding
PNPLA4,ENSG00000006757,X,protein_coding
MYH13,ENSG00000006788,17,protein_coding
ADIPOR2,ENSG00000006831,12,protein_coding
CDKL3,ENSG00000006837,5,protein_coding
UPP2,ENSG00000007001,2,protein_coding
PRSS21,ENSG00000007038,16,protein_coding
MARK4,ENSG00000007047,19,protein_coding
PROM1,ENSG00000007062,4,protein_coding
CCDC124,ENSG00000007080,19,protein_coding
CEACAM21,ENSG00000007129,19,protein_coding
PAFAH1B1,ENSG00000007168,17,protein_coding
NOS2,ENSG00000007171,17,protein_coding
DNAH9,ENSG00000007174,17,protein_coding
SLC13A2,ENSG00000007216,17,protein_coding
GAS7,ENSG00000007237,17,protein_coding
TRAPPC6A,ENSG00000007255,19,protein_coding
MATK,ENSG00000007264,19,protein_coding
CEACAM7,ENSG00000007306,19,protein_coding
CD79B,ENSG00000007312,17,protein_coding
SCN4A,ENSG00000007314,17,protein_coding
ST7L,ENSG00000007341,1,protein_coding
TKTL1,ENSG00000007350,X,protein_coding
PAX6,ENSG00000007372,11,protein_coding
RPUSD1,ENSG00000007376,16,protein_coding
RHBDF1,ENSG00000007384,16,protein_coding
LUC7L,ENSG00000007392,16,protein_coding
CACNA2D2,ENSG00000007402,3,protein_coding
BAIAP3,ENSG00000007516,16,protein_coding
TSR3,ENSG00000007520,16,protein_coding
PIGQ,ENSG00000007541,16,protein_coding
CRAMP1,ENSG00000007545,16,protein_coding
TEAD3,ENSG00000007866,6,protein_coding
SELE,ENSG00000007908,1,protein_coding
DNAJC11,ENSG00000007923,1,protein_coding
FMO3,ENSG00000007933,1,protein_coding
MYLIP,ENSG00000007944,6,protein_coding
NOX1,ENSG00000007952,X,protein_coding
E2F2,ENSG00000007968,1,protein_coding
PSMB1,ENSG00000008018,6,protein_coding
SYN1,ENSG00000008056,X,protein_coding
JARID2,ENSG00000008083,6,protein_coding
CDKL5,ENSG00000008086,X,protein_coding
CAMK1G,ENSG00000008118,1,protein_coding
CDK11A,ENSG00000008128,1,protein_coding
NADK,ENSG00000008130,1,protein_coding
TFAP2B,ENSG00000008196,6,protein_coding
TFAP2D,ENSG00000008197,6,protein_coding
DLEC1,ENSG00000008226,3,protein_coding
CYTH3,ENSG00000008256,7,protein_coding
ADAM22,ENSG00000008277,7,protein_coding
SYPL1,ENSG00000008282,7,protein_coding
CYB561,ENSG00000008283,17,protein_coding
SPAG9,ENSG00000008294,17,protein_coding
CELSR3,ENSG00000008300,3,protein_coding
AASS,ENSG00000008311,7,protein_coding
PLEKHG6,ENSG00000008323,12,protein_coding
SS18L2,ENSG00000008324,3,protein_coding
MPND,ENSG00000008382,19,protein_coding
MGST1,ENSG00000008394,12,protein_coding
CRY1,ENSG00000008405,12,protein_coding
PGLYRP1,ENSG00000008438,19,protein_coding
NFIX,ENSG00000008441,19,protein_coding
ST3GAL1,ENSG00000008513,8,protein_coding
MMP25,ENSG00000008516,16,protein_coding
IL32,ENSG00000008517,16,protein_coding
PKD1,ENSG00000008710,16,protein_coding
MAPK8IP2,ENSG00000008735,22,protein_coding
MED24,ENSG00000008838,17,protein_coding
RHOBTB2,ENSG00000008853,8,protein_coding
HEATR5B,ENSG00000008869,2,protein_coding
SEC62,ENSG00000008952,3,protein_coding
RPS20,ENSG00000008988,8,protein_coding
CSDE1,ENSG00000009307,1,protein_coding
UBE3C,ENSG00000009335,7,protein_coding
REV3L,ENSG00000009413,6,protein_coding
TENM1,ENSG00000009694,X,protein_coding
PAX7,ENSG00000009709,1,protein_coding
MASP2,ENSG00000009724,1,protein_coding
IYD,ENSG00000009765,6,protein_coding
FAM76A,ENSG00000009780,1,protein_coding
TRAF3IP3,ENSG00000009790,1,protein_coding
POMT2,ENSG00000009830,14,protein_coding
VTA1,ENSG00000009844,6,protein_coding
MLXIPL,ENSG00000009950,7,protein_coding
BAZ1B,ENSG00000009954,7,protein_coding
RANBP9,ENSG00000010017,6,protein_coding
ETV7,ENSG00000010030,6,protein_coding
SPRTN,ENSG00000010072,1,protein_coding
METTL13,ENSG00000010165,1,protein_coding
DYRK4,ENSG00000010219,12,protein_coding
ZNF207,ENSG00000010244,17,protein_coding
UQCRC1,ENSG00000010256,3,protein_coding
STARD3NL,ENSG00000010270,7,protein_coding
CD9,ENSG00000010278,12,protein_coding
HHATL,ENSG00000010282,3,protein_coding
NCAPD2,ENSG00000010292,12,protein_coding
IFFO1,ENSG00000010295,12,protein_coding
GIPR,ENSG00000010310,19,protein_coding
PHF7,ENSG00000010318,3,protein_coding
SEMA3G,ENSG00000010319,3,protein_coding
NISCH,ENSG00000010322,3,protein_coding
STAB1,ENSG00000010327,3,protein_coding
FUZ,ENSG00000010361,19,protein_coding
SLC6A13,ENSG00000010379,12,protein_coding
IDS,ENSG00000010404,X,protein_coding
PRSS3,ENSG00000010438,9,protein_coding
ZNF200,ENSG00000010539,16,protein_coding
CD4,ENSG00000010610,12,protein_coding
LRRC23,ENSG00000010626,12,protein_coding
BTK,ENSG00000010671,X,protein_coding
HFE,ENSG00000010704,6,protein_coding
SCMH1,ENSG00000010803,1,protein_coding
FYN,ENSG00000010810,6,protein_coding
HIVEP2,ENSG00000010818,6,protein_coding
FMO1,ENSG00000010932,1,protein_coding
ELOA,ENSG00000011007,1,protein_coding
LYPLA2,ENSG00000011009,1,protein_coding
CLCN6,ENSG00000011021,1,protein_coding
MRC2,ENSG00000011028,17,protein_coding
SLC6A7,ENSG00000011083,5,protein_coding
TSPAN9,ENSG00000011105,12,protein_coding
BTBD7,ENSG00000011114,14,protein_coding
APBA3,ENSG00000011132,19,protein_coding
MKS1,ENSG00000011143,17,protein_coding
ABHD5,ENSG00000011198,3,protein_coding
ANOS1,ENSG00000011201,X,protein_coding
AKAP8L,ENSG00000011243,19,protein_coding
MBTD1,ENSG00000011258,17,protein_coding
UTP18,ENSG00000011260,17,protein_coding
RNF216,ENSG00000011275,7,protein_coding
TTC19,ENSG00000011295,17,protein_coding
PTBP1,ENSG00000011304,19,protein_coding
DPF1,ENSG00000011332,19,protein_coding
SYT7,ENSG00000011347,11,protein_coding
LARS2,ENSG00000011376,3,protein_coding
PIK3C2A,ENSG00000011405,11,protein_coding
PLAUR,ENSG00000011422,19,protein_coding
ANLN,ENSG00000011426,7,protein_coding
WIZ,ENSG00000011451,19,protein_coding
RABGAP1,ENSG00000011454,9,protein_coding
DCN,ENSG00000011465,12,protein_coding
QPCTL,ENSG00000011478,19,protein_coding
PPP5C,ENSG00000011485,19,protein_coding
CEP68,ENSG00000011523,2,protein_coding
MAP4K3,ENSG00000011566,2,protein_coding
ZBTB32,ENSG00000011590,19,protein_coding
TYROBP,ENSG00000011600,19,protein_coding
GABRA3,ENSG00000011677,X,protein_coding
BRCA1,ENSG00000012048,17,protein_coding
ERCC1,ENSG00000012061,19,protein_coding
CD22,ENSG00000012124,19,protein_coding
SEMA3B,ENSG00000012171,3,protein_coding
MBTPS2,ENSG00000012174,X,protein_coding
PRICKLE3,ENSG00000012211,X,protein_coding
LTF,ENSG00000012223,3,protein_coding
EXTL3,ENSG00000012232,8,protein_coding
NR1H4,ENSG00000012504,12,protein_coding
ELOVL5,ENSG00000012660,6,protein_coding
ALOX5,ENSG00000012779,10,protein_coding
KDM5D,ENSG00000012817,Y,protein_coding
CALCOCO1,ENSG00000012822,12,protein_coding
UBR7,ENSG00000012963,14,protein_coding
MAP4K5,ENSG00000012983,14,protein_coding
EHD3,ENSG00000013016,2,protein_coding
PSMC4,ENSG00000013275,19,protein_coding
MAN2B2,ENSG00000013288,4,protein_coding
SLC7A14,ENSG00000013293,3,protein_coding
CLDN11,ENSG00000013297,3,protein_coding
SLC25A39,ENSG00000013306,17,protein_coding
MVP,ENSG00000013364,16,protein_coding
NUB1,ENSG00000013374,7,protein_coding
PGM3,ENSG00000013375,6,protein_coding
RWDD2A,ENSG00000013392,6,protein_coding
CLK1,ENSG00000013441,2,protein_coding
POLR3B,ENSG00000013503,12,protein_coding
ANGEL1,ENSG00000013523,14,protein_coding
RNF14,ENSG00000013561,5,protein_coding
DNASE1L1,ENSG00000013563,X,protein_coding
DDX11,ENSG00000013573,12,protein_coding
HEBP1,ENSG00000013583,12,protein_coding
GPRC5A,ENSG00000013588,12,protein_coding
MAMLD1,ENSG00000013619,X,protein_coding
CD6,ENSG00000013725,11,protein_coding
TACC3,ENSG00000013810,4,protein_coding
UFL1,ENSG00000014123,6,protein_coding
POLA2,ENSG00000014138,11,protein_coding
ZC3H3,ENSG00000014164,8,protein_coding
CAPN1,ENSG00000014216,11,protein_coding
MDH1,ENSG00000014641,2,protein_coding
SLC30A9,ENSG00000014824,4,protein_coding
MTMR11,ENSG00000014914,1,protein_coding
COX15,ENSG00000014919,10,protein_coding
CCDC88C,ENSG00000015133,14,protein_coding
YAF2,ENSG00000015153,12,protein_coding
ZMYND11,ENSG00000015171,10,protein_coding
WAS,ENSG00000015285,X,protein_coding
DPEP1,ENSG00000015413,16,protein_coding
BID,ENSG00000015475,22,protein_coding
MATR3,ENSG00000015479,5,protein_coding
NPC1L1,ENSG00000015520,7,protein_coding
XYLT2,ENSG00000015532,17,protein_coding
RGPD5,ENSG00000015568,2,protein_coding
STMN4,ENSG00000015592,8,protein_coding
NUDCD3,ENSG00000015676,7,protein_coding
ISL1,ENSG00000016082,5,protein_coding
CHDH,ENSG00000016391,3,protein_coding
IL20RA,ENSG00000016402,6,protein_coding
CLCA1,ENSG00000016490,1,protein_coding
CLCA4,ENSG00000016602,1,protein_coding
GLT8D1,ENSG00000016864,3,protein_coding
ATP2C1,ENSG00000017260,3,protein_coding
IGF1,ENSG00000017427,12,protein_coding
SLC38A5,ENSG00000017483,X,protein_coding
RALBP1,ENSG00000017797,18,protein_coding
RUFY3,ENSG00000018189,4,protein_coding
CNTN1,ENSG00000018236,12,protein_coding
SLC11A1,ENSG00000018280,2,protein_coding
WWTR1,ENSG00000018408,3,protein_coding
AGPS,ENSG00000018510,2,protein_coding
ATP1A2,ENSG00000018625,1,protein_coding
TTC27,ENSG00000018699,2,protein_coding
ZNF582,ENSG00000018869,19,protein_coding
VSIG2,ENSG00000019102,11,protein_coding
PHLDB1,ENSG00000019144,11,protein_coding
MARCO,ENSG00000019169,2,protein_coding
CYP24A1,ENSG00000019186,20,protein_coding
PRDM11,ENSG00000019485,11,protein_coding
SYT13,ENSG00000019505,11,protein_coding
SNAI2,ENSG00000019549,8,protein_coding
CD74,ENSG00000019582,5,protein_coding
HGF,ENSG00000019991,7,protein_coding
ZRANB1,ENSG00000019995,10,protein_coding
NCDN,ENSG00000020129,1,protein_coding
ADGRA2,ENSG00000020181,8,protein_coding
ZFP64,ENSG00000020256,20,protein_coding
MNAT1,ENSG00000020426,14,protein_coding
SAMD4A,ENSG00000020577,14,protein_coding
RUNX3,ENSG00000020633,1,protein_coding
MRE11,ENSG00000020922,11,protein_coding
PLEKHB1,ENSG00000021300,11,protein_coding
SERPINB1,ENSG00000021355,6,protein_coding
CYP3A43,ENSG00000021461,7,protein_coding
SLC7A9,ENSG00000021488,19,protein_coding
SPAST,ENSG00000021574,2,protein_coding
NRXN3,ENSG00000021645,14,protein_coding
OSBPL5,ENSG00000021762,11,protein_coding
AQR,ENSG00000021776,15,protein_coding
CPS1,ENSG00000021826,2,protein_coding
C8B,ENSG00000021852,1,protein_coding
FHL1,ENSG00000022267,X,protein_coding
GABRA1,ENSG00000022355,5,protein_coding
NLRP2,ENSG00000022556,19,protein_coding
SLC45A4,ENSG00000022567,8,protein_coding
RNF10,ENSG00000022840,12,protein_coding
ZNF839,ENSG00000022976,14,protein_coding
ZDHHC6,ENSG00000023041,10,protein_coding
GRAMD1B,ENSG00000023171,11,protein_coding
RNH1,ENSG00000023191,11,protein_coding
NDUFS1,ENSG00000023228,2,protein_coding
RB1CC1,ENSG00000023287,8,protein_coding
ERP44,ENSG00000023318,9,protein_coding
ALAS1,ENSG00000023330,3,protein_coding
BIRC3,ENSG00000023445,11,protein_coding
AKAP11,ENSG00000023516,13,protein_coding
GLRX2,ENSG00000023572,1,protein_coding
SNAPC1,ENSG00000023608,14,protein_coding
DERA,ENSG00000023697,12,protein_coding
STRAP,ENSG00000023734,12,protein_coding
ABCC2,ENSG00000023839,10,protein_coding
DEF6,ENSG00000023892,6,protein_coding
PLEKHO1,ENSG00000023902,1,protein_coding
GCLM,ENSG00000023909,1,protein_coding
UBR2,ENSG00000024048,6,protein_coding
EHD2,ENSG00000024422,19,protein_coding
DEPDC1,ENSG00000024526,1,protein_coding
CCDC28A,ENSG00000024862,6,protein_coding
RRAGD,ENSG00000025039,6,protein_coding
HSF2,ENSG00000025156,6,protein_coding
PHF20,ENSG00000025293,20,protein_coding
HSD17B6,ENSG00000025423,12,protein_coding
NR1H3,ENSG00000025434,11,protein_coding
TYMP,ENSG00000025708,22,protein_coding
NCAPH2,ENSG00000025770,22,protein_coding
TOMM34,ENSG00000025772,20,protein_coding
SEC63,ENSG00000025796,6,protein_coding
KPNA6,ENSG00000025800,1,protein_coding
VIM,ENSG00000026025,10,protein_coding
FAS,ENSG00000026103,10,protein_coding
RNASET2,ENSG00000026297,6,protein_coding
CD44,ENSG00000026508,11,protein_coding
KCNG1,ENSG00000026559,20,protein_coding
AGPAT4,ENSG00000026652,6,protein_coding
SLAMF7,ENSG00000026751,1,protein_coding
BTN3A1,ENSG00000026950,6,protein_coding
MIPEP,ENSG00000027001,13,protein_coding
PRKCH,ENSG00000027075,14,protein_coding
INSRR,ENSG00000027644,1,protein_coding
IFNGR1,ENSG00000027697,6,protein_coding
B4GALT7,ENSG00000027847,5,protein_coding
SH2D2A,ENSG00000027869,1,protein_coding
VRK2,ENSG00000028116,2,protein_coding
TNFRSF1B,ENSG00000028137,1,protein_coding
VEZT,ENSG00000028203,12,protein_coding
POU2F2,ENSG00000028277,19,protein_coding
BRD9,ENSG00000028310,5,protein_coding
SNX1,ENSG00000028528,15,protein_coding
TBPL1,ENSG00000028839,6,protein_coding
BCLAF1,ENSG00000029363,6,protein_coding
SLC39A9,ENSG00000029364,14,protein_coding
ANK1,ENSG00000029534,8,protein_coding
IBSP,ENSG00000029559,4,protein_coding
TFB1M,ENSG00000029639,6,protein_coding
RABEP1,ENSG00000029725,17,protein_coding
HMGB3,ENSG00000029993,X,protein_coding
NUP160,ENSG00000030066,11,protein_coding
BAK1,ENSG00000030110,6,protein_coding
MUSK,ENSG00000030304,9,protein_coding
IKZF2,ENSG00000030419,2,protein_coding
GRN,ENSG00000030582,17,protein_coding
FAM13B,ENSG00000031003,5,protein_coding
ARHGAP31,ENSG00000031081,3,protein_coding
CENPQ,ENSG00000031691,6,protein_coding
RANBP3,ENSG00000031823,19,protein_coding
ARID4A,ENSG00000032219,14,protein_coding
PNPLA6,ENSG00000032444,19,protein_coding
IFT88,ENSG00000032742,13,protein_coding
ALG1,ENSG00000033011,16,protein_coding
ZCCHC8,ENSG00000033030,12,protein_coding
ABCF2,ENSG00000033050,7,protein_coding
CHPF2,ENSG00000033100,7,protein_coding
LRRC7,ENSG00000033122,1,protein_coding
FUT8,ENSG00000033170,14,protein_coding
UBA6,ENSG00000033178,4,protein_coding
GAB2,ENSG00000033327,11,protein_coding
ATP6V0A1,ENSG00000033627,17,protein_coding
PIAS1,ENSG00000033800,15,protein_coding
SLC4A7,ENSG00000033867,3,protein_coding
APBA2,ENSG00000034053,15,protein_coding
MAP2K3,ENSG00000034152,17,protein_coding
TMSB10,ENSG00000034510,2,protein_coding
ASTE1,ENSG00000034533,3,protein_coding
RNF19A,ENSG00000034677,8,protein_coding
PEX3,ENSG00000034693,6,protein_coding
GABARAPL2,ENSG00000034713,16,protein_coding
MYOC,ENSG00000034971,1,protein_coding
SH3YL1,ENSG00000035115,2,protein_coding
FAM136A,ENSG00000035141,2,protein_coding
VCL,ENSG00000035403,10,protein_coding
DEPDC1B,ENSG00000035499,5,protein_coding
DAPK2,ENSG00000035664,15,protein_coding
NSMAF,ENSG00000035681,8,protein_coding
STAP1,ENSG00000035720,4,protein_coding
TIMP2,ENSG00000035862,17,protein_coding
RFC1,ENSG00000035928,4,protein_coding
TBC1D23,ENSG00000036054,3,protein_coding
CUL3,ENSG00000036257,2,protein_coding
MYOM2,ENSG00000036448,8,protein_coding
OTC,ENSG00000036473,X,protein_coding
CYP46A1,ENSG00000036530,14,protein_coding
ZZZ3,ENSG00000036549,1,protein_coding
SLC18A1,ENSG00000036565,8,protein_coding
USP2,ENSG00000036672,11,protein_coding
CASR,ENSG00000036828,3,protein_coding
TUBG2,ENSG00000037042,17,protein_coding
RPL26L1,ENSG00000037241,5,protein_coding
FLT4,ENSG00000037280,5,protein_coding
NSUN2,ENSG00000037474,5,protein_coding
FBXO42,ENSG00000037637,1,protein_coding
MFAP3,ENSG00000037749,5,protein_coding
MRI1,ENSG00000037757,19,protein_coding
METTL1,ENSG00000037897,12,protein_coding
HOXC8,ENSG00000037965,12,protein_coding
AGA,ENSG00000038002,4,protein_coding
PI4K2B,ENSG00000038210,4,protein_coding
BOD1L1,ENSG00000038219,4,protein_coding
MAT2B,ENSG00000038274,5,protein_coding
TLL1,ENSG00000038295,4,protein_coding
EDC4,ENSG00000038358,16,protein_coding
TRIO,ENSG00000038382,5,protein_coding
VCAN,ENSG00000038427,5,protein_coding
CLEC16A,ENSG00000038532,16,protein_coding
MSR1,ENSG00000038945,8,protein_coding
CDH1,ENSG00000039068,16,protein_coding
DNAH5,ENSG00000039139,5,protein_coding
ZFYVE16,ENSG00000039319,5,protein_coding
C6,ENSG00000039537,5,protein_coding
RAI14,ENSG00000039560,5,protein_coding
SOX30,ENSG00000039600,5,protein_coding
PNKP,ENSG00000039650,19,protein_coding
BEST2,ENSG00000039987,19,protein_coding
PHLPP2,ENSG00000040199,16,protein_coding
SPDL1,ENSG00000040275,5,protein_coding
STAU2,ENSG00000040341,8,protein_coding
CTNS,ENSG00000040531,17,protein_coding
RTN4R,ENSG00000040608,22,protein_coding
PHF23,ENSG00000040633,17,protein_coding
CDH10,ENSG00000040731,5,protein_coding
INPP4A,ENSG00000040933,2,protein_coding
RAB27B,ENSG00000041353,18,protein_coding
PSMA4,ENSG00000041357,15,protein_coding
MYO16,ENSG00000041515,13,protein_coding
LSG1,ENSG00000041802,3,protein_coding
PARP3,ENSG00000041880,3,protein_coding
TNC,ENSG00000041982,9,protein_coding
THAP3,ENSG00000041988,1,protein_coding
TDP1,ENSG00000042088,14,protein_coding
AIFM2,ENSG00000042286,10,protein_coding
SPATA7,ENSG00000042317,14,protein_coding
MED17,ENSG00000042429,11,protein_coding
RETSAT,ENSG00000042445,2,protein_coding
CAPG,ENSG00000042493,2,protein_coding
AP2S1,ENSG00000042753,19,protein_coding
USH2A,ENSG00000042781,1,protein_coding
ZPBP,ENSG00000042813,7,protein_coding
TG,ENSG00000042832,8,protein_coding
ADAM28,ENSG00000042980,8,protein_coding
BARX2,ENSG00000043039,11,protein_coding
DCUN1D1,ENSG00000043093,3,protein_coding
JADE2,ENSG00000043143,5,protein_coding
ZIC2,ENSG00000043355,13,protein_coding
LCP2,ENSG00000043462,5,protein_coding
TRIT1,ENSG00000043514,1,protein_coding
ADRB1,ENSG00000043591,10,protein_coding
GUCA2B,ENSG00000044012,1,protein_coding
CUL7,ENSG00000044090,6,protein_coding
CTNNA1,ENSG00000044115,5,protein_coding
PHKA2,ENSG00000044446,X,protein_coding
CNTLN,ENSG00000044459,9,protein_coding
EPHA3,ENSG00000044524,3,protein_coding
HSPA5,ENSG00000044574,9,protein_coding
DSG2,ENSG00000046604,18,protein_coding
GEMIN8,ENSG00000046647,X,protein_coding
OFD1,ENSG00000046651,X,protein_coding
GPM6B,ENSG00000046653,X,protein_coding
MAGEC2,ENSG00000046774,X,protein_coding
PREX2,ENSG00000046889,8,protein_coding
WDR37,ENSG00000047056,10,protein_coding
YTHDC2,ENSG00000047188,5,protein_coding
CTPS2,ENSG00000047230,X,protein_coding
ATP6V1H,ENSG00000047249,8,protein_coding
POLR2B,ENSG00000047315,4,protein_coding
ARAP2,ENSG00000047365,4,protein_coding
TPR,ENSG00000047410,1,protein_coding
CP,ENSG00000047457,3,protein_coding
DTNBP1,ENSG00000047579,6,protein_coding
XK,ENSG00000047597,X,protein_coding
ANO2,ENSG00000047617,12,protein_coding
C12orf4,ENSG00000047621,12,protein_coding
SCML1,ENSG00000047634,X,protein_coding
WWC3,ENSG00000047644,X,protein_coding
ARHGAP6,ENSG00000047648,X,protein_coding
FAM184B,ENSG00000047662,4,protein_coding
MAP4,ENSG00000047849,3,protein_coding
GOPC,ENSG00000047932,6,protein_coding
ROS1,ENSG00000047936,6,protein_coding
USP28,ENSG00000048028,11,protein_coding
HDAC9,ENSG00000048052,7,protein_coding
TSPAN17,ENSG00000048140,5,protein_coding
