,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
48,48,DCC,0.0031509448493008,UnipolarDepression,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
49,49,FSTL5,0.0030691608214842,BipolarDisorder,ENSG00000168843,Tier 3A,FSTL5,4,162305049.0,163085187.0,-1.0,follistatin-like 5 [Source:HGNC Symbol;Acc:21386],0.0,1.0,1.0,1.0
49,49,FSTL5,0.0030691608214842,UnipolarDepression,ENSG00000168843,Tier 3A,FSTL5,4,162305049.0,163085187.0,-1.0,follistatin-like 5 [Source:HGNC Symbol;Acc:21386],0.0,1.0,1.0,1.0
52,52,CSF2RB,0.0028546914717894,MS,ENSG00000100368,Tier 3A,CSF2RB,22,37309670.0,37336491.0,1.0,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2436]",0.0,1.0,1.0,1.0
53,53,MAP3K14,0.0028363364896286,MS,ENSG00000006062,Tier 2,MAP3K14,17,43340488.0,43394414.0,-1.0,mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853],0.0,1.0,1.0,1.0
54,54,TGFBR2,0.0028034468274446,MigraineDisorder,ENSG00000163513,Tier 1,TGFBR2,3,30647994.0,30735634.0,1.0,"transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:11773]",1.0,1.0,1.0,1.0
54,54,TGFBR2,0.0028034468274446,Schizophrenia,ENSG00000163513,Tier 1,TGFBR2,3,30647994.0,30735634.0,1.0,"transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:11773]",1.0,1.0,1.0,1.0
55,55,PDCD1,0.0027627921076626,BrainAneurysm,ENSG00000188389,Tier 1,PDCD1,2,242792033.0,242801060.0,-1.0,programmed cell death 1 [Source:HGNC Symbol;Acc:8760],0.0,1.0,1.0,1.0
55,55,PDCD1,0.0027627921076626,MS,ENSG00000188389,Tier 1,PDCD1,2,242792033.0,242801060.0,-1.0,programmed cell death 1 [Source:HGNC Symbol;Acc:8760],0.0,1.0,1.0,1.0
56,56,ADCY1,0.0027447420232005,BipolarDisorder,ENSG00000164742,Tier 1,ADCY1,7,45613739.0,45762715.0,1.0,adenylate cyclase 1 (brain) [Source:HGNC Symbol;Acc:232],0.0,1.0,1.0,1.0
56,56,ADCY1,0.0027447420232005,Schizophrenia,ENSG00000164742,Tier 1,ADCY1,7,45613739.0,45762715.0,1.0,adenylate cyclase 1 (brain) [Source:HGNC Symbol;Acc:232],0.0,1.0,1.0,1.0
57,57,IL2RA,0.0027116841073674,MS,ENSG00000134460,Tier 1,IL2RA,10,6052652.0,6104288.0,-1.0,"interleukin 2 receptor, alpha [Source:HGNC Symbol;Acc:6008]",16.0,1.0,1.0,1.0
58,58,TNFSF14,0.0026762637078537,MS,ENSG00000125735,Tier 1,TNFSF14,19,6663148.0,6670599.0,-1.0,"tumor necrosis factor (ligand) superfamily, member 14 [Source:HGNC Symbol;Acc:11930]",1.0,1.0,1.0,1.0
59,59,GFRA2,0.0026441107927064,FrontotemporalDementia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
60,60,FGFR3,0.0025105997278826,PartialEpilepsy,ENSG00000068078,Tier 1,FGFR3,4,1795034.0,1810599.0,1.0,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690],0.0,1.0,1.0,1.0
61,61,PTPRD,0.0025014303887451,Schizophrenia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
62,62,SEMA3A,0.0024339543724975,UnipolarDepression,ENSG00000075213,Tier 3A,SEMA3A,7,83585093.0,84122040.0,-1.0,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A [Source:HGNC Symbol;Acc:10723]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,AnorexiaNervosa,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,BipolarDisorder,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,OCD,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,Schizophrenia,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,TouretteSyndrome,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
64,64,GRIA1,0.0023871392248264,UnipolarDepression,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
66,66,CD40,0.0022628513885853,MS,ENSG00000101017,Tier 1,CD40,20,44746911.0,44758502.0,1.0,"CD40 molecule, TNF receptor superfamily member 5 [Source:HGNC Symbol;Acc:11919]",7.0,1.0,1.0,1.0
66,66,CD40,0.0022628513885853,UnipolarDepression,ENSG00000101017,Tier 1,CD40,20,44746911.0,44758502.0,1.0,"CD40 molecule, TNF receptor superfamily member 5 [Source:HGNC Symbol;Acc:11919]",7.0,1.0,1.0,1.0
67,67,TGFBR3,0.0022017508990382,MS,ENSG00000069702,Tier 3A,TGFBR3,1,92145902.0,92371892.0,-1.0,"transforming growth factor, beta receptor III [Source:HGNC Symbol;Acc:11774]",0.0,1.0,1.0,1.0
68,68,CD47,0.0021956047071088,BipolarDisorder,ENSG00000196776,Tier 3B,CD47,3,107762145.0,107809872.0,-1.0,CD47 molecule [Source:HGNC Symbol;Acc:1682],0.0,1.0,1.0,1.0
68,68,CD47,0.0021956047071088,TouretteSyndrome,ENSG00000196776,Tier 3B,CD47,3,107762145.0,107809872.0,-1.0,CD47 molecule [Source:HGNC Symbol;Acc:1682],0.0,1.0,1.0,1.0
71,71,DSCAM,0.0021444762325549,BrainAneurysm,ENSG00000171587,Tier 3A,DSCAM,21,41382926.0,42219065.0,-1.0,Down syndrome cell adhesion molecule [Source:HGNC Symbol;Acc:3039],0.0,1.0,1.0,1.0
72,72,NOS1,0.0021380353411536,NeuroticDisorder,ENSG00000089250,Tier 1,NOS1,12,117645947.0,117889975.0,-1.0,nitric oxide synthase 1 (neuronal) [Source:HGNC Symbol;Acc:7872],0.0,1.0,1.0,1.0
72,72,NOS1,0.0021380353411536,Schizophrenia,ENSG00000089250,Tier 1,NOS1,12,117645947.0,117889975.0,-1.0,nitric oxide synthase 1 (neuronal) [Source:HGNC Symbol;Acc:7872],0.0,1.0,1.0,1.0
72,72,NOS1,0.0021380353411536,UnipolarDepression,ENSG00000089250,Tier 1,NOS1,12,117645947.0,117889975.0,-1.0,nitric oxide synthase 1 (neuronal) [Source:HGNC Symbol;Acc:7872],0.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,AnorexiaNervosa,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,BipolarDisorder,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,OCD,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,Schizophrenia,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,TouretteSyndrome,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
73,73,NMB,0.0021339357771717,UnipolarDepression,ENSG00000197696,Tier 3B,NMB,15,85198360.0,85201794.0,-1.0,neuromedin B [Source:HGNC Symbol;Acc:7842],1.0,1.0,1.0,1.0
74,74,GRN,0.0021229543956907,AD,ENSG00000030582,Tier 3A,GRN,17,42422614.0,42430470.0,1.0,granulin [Source:HGNC Symbol;Acc:4601],1.0,1.0,1.0,1.0
74,74,GRN,0.0021229543956907,FrontotemporalDementia,ENSG00000030582,Tier 3A,GRN,17,42422614.0,42430470.0,1.0,granulin [Source:HGNC Symbol;Acc:4601],1.0,1.0,1.0,1.0
77,77,EPHA1,0.002015546956161,AD,ENSG00000146904,Tier 1,EPHA1,7,143087382.0,143105985.0,-1.0,EPH receptor A1 [Source:HGNC Symbol;Acc:3385],1.0,1.0,1.0,1.0
78,78,S1PR1,0.0020122497509774,PD,ENSG00000170989,Tier 1,S1PR1,1,101702444.0,101707074.0,1.0,sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:3165],0.0,1.0,1.0,1.0
79,79,NLGN1,0.0019972652496757,UnipolarDepression,ENSG00000169760,Tier 3B,NLGN1,3,173114074.0,174004434.0,1.0,neuroligin 1 [Source:HGNC Symbol;Acc:14291],0.0,1.0,1.0,1.0
