,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
18,18,GPR20,0.0043609367048811,BipolarDisorder,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
18,18,GPR20,0.0043609367048811,OCD,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
18,18,GPR20,0.0043609367048811,Schizophrenia,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
18,18,GPR20,0.0043609367048811,TouretteSyndrome,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
18,18,GPR20,0.0043609367048811,UnipolarDepression,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
19,19,CALCA,0.0042876682790045,MigraineDisorder,ENSG00000110680,Tier 1,CALCA,11,14988214.0,14993900.0,-1.0,calcitonin-related polypeptide alpha [Source:HGNC Symbol;Acc:1437],0.0,1.0,1.0,0.6
20,20,JAK1,0.0041696181435364,MS,ENSG00000162434,Tier 1,JAK1,1,65298912.0,65432187.0,-1.0,Janus kinase 1 [Source:HGNC Symbol;Acc:6190],0.0,1.0,0.6,0.6
21,21,ITGB5,0.0041303280141554,MigraineDisorder,ENSG00000082781,Tier 1,ITGB5,3,124480795.0,124620265.0,-1.0,"integrin, beta 5 [Source:HGNC Symbol;Acc:6160]",0.0,1.0,1.0,0.6
22,22,NGF,0.0041244463776995,MigraineDisorder,ENSG00000134259,Tier 1,NGF,1,115828539.0,115880857.0,-1.0,nerve growth factor (beta polypeptide) [Source:HGNC Symbol;Acc:7808],0.0,1.0,1.0,0.6
23,23,BMPR1B,0.0040763545632542,Schizophrenia,ENSG00000138696,Tier 1,BMPR1B,4,95679119.0,96079599.0,1.0,"bone morphogenetic protein receptor, type IB [Source:HGNC Symbol;Acc:1077]",0.0,1.0,1.0,0.6
24,24,SNCA,0.0040433868746642,LBD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,0.6
24,24,SNCA,0.0040433868746642,PD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,0.6
25,25,ACVR2A,0.0040367952273751,NeuroticDisorder,ENSG00000121989,Tier 2,ACVR2A,2,148602086.0,148688393.0,1.0,"activin A receptor, type IIA [Source:HGNC Symbol;Acc:173]",1.0,1.0,0.6,0.6
25,25,ACVR2A,0.0040367952273751,UnipolarDepression,ENSG00000121989,Tier 2,ACVR2A,2,148602086.0,148688393.0,1.0,"activin A receptor, type IIA [Source:HGNC Symbol;Acc:173]",1.0,1.0,0.6,0.6
26,26,NOS3,0.0039465413749804,AD,ENSG00000164867,Tier 1,NOS3,7,150688083.0,150711676.0,1.0,nitric oxide synthase 3 (endothelial cell) [Source:HGNC Symbol;Acc:7876],0.0,1.0,0.6,1.0
27,27,IFNAR1,0.0039085286444,NarcolepsyCataplexy,ENSG00000142166,Tier 1,IFNAR1,21,34696734.0,34732168.0,1.0,"interferon (alpha, beta and omega) receptor 1 [Source:HGNC Symbol;Acc:5432]",1.0,0.6,1.0,0.6
27,27,IFNAR1,0.0039085286444,Narcolepsy,ENSG00000142166,Tier 1,IFNAR1,21,34696734.0,34732168.0,1.0,"interferon (alpha, beta and omega) receptor 1 [Source:HGNC Symbol;Acc:5432]",1.0,0.6,1.0,0.6
28,28,DDR1,0.0038091394859798,Schizophrenia,ENSG00000204580,Tier 1,DDR1,6,30844198.0,30867933.0,1.0,discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730],19.0,1.0,1.0,0.6
29,29,TLR4,0.0037795203381325,NeuroticDisorder,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,0.6
29,29,TLR4,0.0037795203381325,UnipolarDepression,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,0.6
30,30,PDGFD,0.0037047830156556,MigraineDisorder,ENSG00000170962,Tier 3A,PDGFD,11,103777914.0,104035107.0,-1.0,platelet derived growth factor D [Source:HGNC Symbol;Acc:30620],0.0,0.6,1.0,0.6
31,31,BMP2,0.0036904101787716,UnipolarDepression,ENSG00000125845,Tier 3A,BMP2,20,6748311.0,6760927.0,1.0,bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:1069],1.0,0.6,1.0,0.6
32,32,VEGFC,0.0036524543254516,BrainAneurysm,ENSG00000150630,Tier 3B,VEGFC,4,177604689.0,177713881.0,-1.0,vascular endothelial growth factor C [Source:HGNC Symbol;Acc:12682],0.0,0.6,1.0,0.6
33,33,IL6R,0.003636858780481,AD,ENSG00000160712,Tier 1,IL6R,1,154377669.0,154441926.0,1.0,interleukin 6 receptor [Source:HGNC Symbol;Acc:6019],9.0,0.6,1.0,0.6
34,34,LAMB3,0.0036127603411362,ALS,ENSG00000196878,Tier 1,LAMB3,1,209788215.0,209825811.0,-1.0,"laminin, beta 3 [Source:HGNC Symbol;Acc:6490]",0.0,0.6,1.0,0.6
35,35,RELN,0.0034178695480503,PartialEpilepsy,ENSG00000189056,Tier 3A,RELN,7,103112231.0,103629963.0,-1.0,reelin [Source:HGNC Symbol;Acc:9957],1.0,0.6,1.0,0.6
36,36,CD80,0.0033823952036712,MS,ENSG00000121594,Tier 1,CD80,3,119243140.0,119278449.0,-1.0,CD80 molecule [Source:HGNC Symbol;Acc:1700],6.0,0.6,1.0,0.6
37,37,ITGA9,0.0033311949025251,ALS,ENSG00000144668,Tier 3A,ITGA9,3,37493606.0,37865005.0,1.0,"integrin, alpha 9 [Source:HGNC Symbol;Acc:6145]",3.0,0.6,1.0,0.6
38,38,NRP1,0.0033238742984071,MigraineDisorder,ENSG00000099250,Tier 1,NRP1,10,33466420.0,33625190.0,-1.0,neuropilin 1 [Source:HGNC Symbol;Acc:8004],0.0,0.6,1.0,0.6
39,39,DPP4,0.0032925642109464,Schizophrenia,ENSG00000197635,Tier 1,DPP4,2,162848751.0,162931052.0,-1.0,dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009],2.0,1.0,1.0,0.6
41,41,EFNA5,0.0032340806125074,BipolarDisorder,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,0.6,1.0,0.6
41,41,EFNA5,0.0032340806125074,Schizophrenia,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,0.6,1.0,0.6
41,41,EFNA5,0.0032340806125074,UnipolarDepression,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,0.6,1.0,0.6
42,42,IL12B,0.0031370666717203,MS,ENSG00000113302,Tier 1,IL12B,5,158741791.0,158757895.0,-1.0,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) [Source:HGNC Symbol;Acc:5970]",5.0,0.6,1.0,0.6
42,42,IL12B,0.0031370666717203,UnipolarDepression,ENSG00000113302,Tier 1,IL12B,5,158741791.0,158757895.0,-1.0,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) [Source:HGNC Symbol;Acc:5970]",5.0,0.6,1.0,0.6
43,43,ITGA2B,0.0030567295095783,AD,ENSG00000005961,Tier 1,ITGA2B,17,42449548.0,42466873.0,-1.0,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]",1.0,1.0,1.0,0.6
43,43,ITGA2B,0.0030567295095783,PD,ENSG00000005961,Tier 1,ITGA2B,17,42449548.0,42466873.0,-1.0,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]",1.0,1.0,1.0,0.6
44,44,NRXN1,0.0030310841142123,Schizophrenia,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,0.6,1.0,0.6
44,44,NRXN1,0.0030310841142123,UnipolarDepression,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,0.6,1.0,0.6
46,46,ITGB7,0.0029941265902979,Schizophrenia,ENSG00000139626,Tier 1,ITGB7,12,53585102.0,53601091.0,-1.0,"integrin, beta 7 [Source:HGNC Symbol;Acc:6162]",0.0,1.0,1.0,0.6
47,47,ACKR1,0.0029345479455663,Schizophrenia,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
48,48,ACVR1B,0.0029303309463226,MajorDepressiveDisorder,ENSG00000135503,Tier 1,ACVR1B,12,52345451.0,52390862.0,1.0,"activin A receptor, type IB [Source:HGNC Symbol;Acc:172]",0.0,1.0,0.6,0.6
49,49,WNT4,0.0029199617685012,Schizophrenia,ENSG00000162552,Tier 3A,WNT4,1,22443798.0,22470462.0,-1.0,"wingless-type MMTV integration site family, member 4 [Source:HGNC Symbol;Acc:12783]",11.0,0.6,1.0,0.6
50,50,SST,0.0029026584990198,MS,ENSG00000157005,Tier 1,SST,3,187386694.0,187388187.0,-1.0,somatostatin [Source:HGNC Symbol;Acc:11329],0.0,0.6,1.0,0.6
51,51,LEPR,0.0028239093382211,Schizophrenia,ENSG00000116678,Tier 3A,LEPR,1,65886248.0,66107242.0,1.0,leptin receptor [Source:HGNC Symbol;Acc:6554],8.0,0.6,1.0,0.6
52,52,ITGA8,0.0027798464433841,PD,ENSG00000077943,Tier 3A,ITGA8,10,15555948.0,15762124.0,-1.0,"integrin, alpha 8 [Source:HGNC Symbol;Acc:6144]",0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,AnorexiaNervosa,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,BipolarDisorder,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,OCD,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,Schizophrenia,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,TouretteSyndrome,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
53,53,MDK,0.002758289272577,UnipolarDepression,ENSG00000110492,Tier 3A,MDK,11,46402306.0,46405375.0,1.0,midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972],0.0,0.6,1.0,0.6
54,54,APOB,0.0027560574708076,AD,ENSG00000084674,Tier 1,APOB,2,21224301.0,21266945.0,-1.0,apolipoprotein B [Source:HGNC Symbol;Acc:603],36.0,1.0,1.0,0.6
54,54,APOB,0.0027560574708076,BipolarDisorder,ENSG00000084674,Tier 1,APOB,2,21224301.0,21266945.0,-1.0,apolipoprotein B [Source:HGNC Symbol;Acc:603],36.0,1.0,1.0,0.6
56,56,IFNGR2,0.002672204559919,MS,ENSG00000159128,Tier 1,IFNGR2,21,34775202.0,34851655.0,1.0,interferon gamma receptor 2 (interferon gamma transducer 1) [Source:HGNC Symbol;Acc:5440],2.0,0.6,1.0,0.6
57,57,NECTIN2,0.0025991216446547,AD,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
57,57,NECTIN2,0.0025991216446547,PD,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
59,59,RPS6KB1,0.0025327630419323,MS,ENSG00000108443,Tier 1,RPS6KB1,17,57970447.0,58027925.0,1.0,"ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Source:HGNC Symbol;Acc:10436]",2.0,1.0,0.6,0.6
60,60,CSF3,0.0024139980515216,BipolarDisorder,ENSG00000108342,Tier 3A,CSF3,17,38171614.0,38174066.0,1.0,colony stimulating factor 3 (granulocyte) [Source:HGNC Symbol;Acc:2438],8.0,0.6,1.0,0.6
61,61,ACKR2,0.0024048658586598,AD,ENSG00000144648,Tier 3B,ACKR2,3,42846244.0,42929466.0,1.0,atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:1565],1.0,1.0,1.0,0.6
62,62,CRH,0.0023984003838208,PartialEpilepsy,ENSG00000147571,Tier 3B,CRH,8,67088620.0,67090960.0,-1.0,corticotropin releasing hormone [Source:HGNC Symbol;Acc:2355],0.0,0.6,1.0,0.6
63,63,IL7R,0.0023917276454822,MS,ENSG00000168685,Tier 3A,IL7R,5,35852797.0,35879705.0,1.0,interleukin 7 receptor [Source:HGNC Symbol;Acc:6024],4.0,0.6,1.0,0.6
64,64,IL10RB,0.0023032428672228,NarcolepsyCataplexy,ENSG00000243646,Tier 3B,IL10RB,21,34638663.0,34669539.0,1.0,"interleukin 10 receptor, beta [Source:HGNC Symbol;Acc:5965]",1.0,0.6,1.0,0.6
64,64,IL10RB,0.0023032428672228,Narcolepsy,ENSG00000243646,Tier 3B,IL10RB,21,34638663.0,34669539.0,1.0,"interleukin 10 receptor, beta [Source:HGNC Symbol;Acc:5965]",1.0,0.6,1.0,0.6
65,65,PLAU,0.0022978119540229,MS,ENSG00000122861,Tier 2,PLAU,10,75668935.0,75677255.0,1.0,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:9052]",1.0,1.0,1.0,0.6
66,66,APOE,0.0022884513671086,AD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,0.6,1.0,0.6
66,66,APOE,0.0022884513671086,LBD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,0.6,1.0,0.6
66,66,APOE,0.0022884513671086,PD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,0.6,1.0,0.6
67,67,GAL,0.0022416906832757,PartialEpilepsy,ENSG00000069482,Tier 3B,GAL,11,68451247.0,68458643.0,1.0,galanin/GMAP prepropeptide [Source:HGNC Symbol;Acc:4114],0.0,0.6,1.0,0.6
68,68,PTK2B,0.0022040103454285,AD,ENSG00000120899,Tier 1,PTK2B,8,27168999.0,27316903.0,1.0,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612],1.0,1.0,0.6,0.6
69,69,HBEGF,0.0021914220637923,AD,ENSG00000113070,Tier 1,HBEGF,5,139712428.0,139726216.0,-1.0,heparin-binding EGF-like growth factor [Source:HGNC Symbol;Acc:3059],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,AnorexiaNervosa,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,BipolarDisorder,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,OCD,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,Schizophrenia,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,TouretteSyndrome,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
70,70,PTN,0.0021771545790303,UnipolarDepression,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,0.6,1.0,0.6
73,73,PILRA,0.0021227353702093,AD,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
76,76,ESR1,0.0020821111974747,UnipolarDepression,ENSG00000091831,Tier 1,ESR1,6,151977826.0,152450754.0,1.0,estrogen receptor 1 [Source:HGNC Symbol;Acc:3467],14.0,1.0,0.6,0.6
78,78,ERBB4,0.0020527555082805,ALS,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,0.6
78,78,ERBB4,0.0020527555082805,FrontotemporalDementia,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,0.6
78,78,ERBB4,0.0020527555082805,MajorDepressiveDisorder,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,0.6
78,78,ERBB4,0.0020527555082805,UnipolarDepression,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,0.6
80,80,WNT7B,0.0020423188480565,BipolarDisorder,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,0.6,1.0,0.6
80,80,WNT7B,0.0020423188480565,MajorDepressiveDisorder,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,0.6,1.0,0.6
80,80,WNT7B,0.0020423188480565,Schizophrenia,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,0.6,1.0,0.6
80,80,WNT7B,0.0020423188480565,UnipolarDepression,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,0.6,1.0,0.6
81,81,WNT3,0.0020321959245986,PD,ENSG00000108379,Tier 2,WNT3,17,44839872.0,44910520.0,-1.0,"wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",13.0,1.0,1.0,0.6
81,81,WNT3,0.0020321959245986,Schizophrenia,ENSG00000108379,Tier 2,WNT3,17,44839872.0,44910520.0,-1.0,"wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",13.0,1.0,1.0,0.6
83,83,IL12A,0.0019457895891021,MS,ENSG00000168811,Tier 3A,IL12A,3,159706537.0,159713806.0,1.0,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) [Source:HGNC Symbol;Acc:5969]",2.0,0.6,1.0,0.6
86,86,WNT9B,0.0019247579021702,MS,ENSG00000158955,Tier 3A,WNT9B,17,44910567.0,44964096.0,1.0,"wingless-type MMTV integration site family, member 9B [Source:HGNC Symbol;Acc:12779]",0.0,0.6,1.0,0.6
86,86,WNT9B,0.0019247579021702,PD,ENSG00000158955,Tier 3A,WNT9B,17,44910567.0,44964096.0,1.0,"wingless-type MMTV integration site family, member 9B [Source:HGNC Symbol;Acc:12779]",0.0,0.6,1.0,0.6
87,87,CNTN1,0.0019111268713609,PD,ENSG00000018236,Tier 3A,CNTN1,12,41086244.0,41466220.0,1.0,contactin 1 [Source:HGNC Symbol;Acc:2171],1.0,0.6,1.0,0.6
88,88,FSTL5,0.00188720797584,BipolarDisorder,ENSG00000168843,Tier 3A,FSTL5,4,162305049.0,163085187.0,-1.0,follistatin-like 5 [Source:HGNC Symbol;Acc:21386],0.0,0.6,1.0,0.6
88,88,FSTL5,0.00188720797584,UnipolarDepression,ENSG00000168843,Tier 3A,FSTL5,4,162305049.0,163085187.0,-1.0,follistatin-like 5 [Source:HGNC Symbol;Acc:21386],0.0,0.6,1.0,0.6
89,89,ADO,0.0018730748735651,BipolarDisorder,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
89,89,ADO,0.0018730748735651,MS,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
